x,y
-4426.626,-9534.938
-3392.327,-10103.364
-602.064,-4475.922
-602.064,-4475.922
-1631.165,-5996.598
-3215.576,-6265.972
-1498.374,-6227.696
-1631.165,-5996.598
-3292.374,-7604.352
-1487.64,-8882.49
-1433.39,-7120.099
-5626.3,-9182.736
-1383.342,-12353.442
-5626.3,-9182.736
-2868.697,-5399.736
-3200.503,-12644.005
-5067.809,-10389.398
-5067.809,-10389.398
-2772.693,-10139.865
-1985.51,-10766.37
-5306.33,-10836.669
-979.992,-2573.916
-2320.087,-11164.591
-1282.208,-6772.206
-3007.289,-11433.496
-1940.986,-10068.79
-4022.331,-10450.724
-1472.08,-2380.54
-4044.667,-4379.944
-2242.225,-5269.195
-3079.862,-2798.859
-3453.206,-9944.348
-4847.979,-10374.124
-4240.693,-6235.492
-4331.825,-6579.944
-4104.77,-6762.72
-6837.464,-8568.431
-4331.825,-6579.944
-2804.604,-6307.852
-3774.676,-10403.844
3387.847,-44209.586
-4148.005,-10584.557
-5187.267,-9467.999
-3732.551,-9951.339
-2298.48,-10967.38
-4318.32,-11072.325
-2552.828,-10891.542
-4326.645,-6844.234
-1825.064,-11598.584
-3508.84,-9218.94
-4461.435,-7037.225
-3538.131,-10951.944
-3329.687,-8007.292
-1781.16,-3706.388
-1114.959,-4826.376
-4230.816,-7496.469
-1554.194,-3925.881
-2430.11,-5427.76
-2426.624,-4116.063
-2252.219,-4750.831
-1500.847,-4737.277
-4136.576,-6866.536
-6773.78,-8766.27
-1307.312,-5011.478
-1577.072,-6239.817
-3818.918,-5655.555
-1924.286,-5782.015
-5293.613,-6407.642
-3781.555,-7490.875
-3776.466,-4017.258
-2451.878,-5639.961
-2540.08,-5338.03
-1597.9,-4784.454
-4168.98,-7872.87
-661.783,-4389.497
-5399.117,-10370.07
-5399.117,-10370.07
-2673.437,-4809.746
-3228.581,-5040.691
-1915.246,-5817.894
-4649.394,-10653.293
-319.761,-4151.54
-2005.584,-6965.083
-1933.286,-6893.775
22204.694,-28335.697
-2374.375,-5421.695
-2875.424,-5053.795
-2863.086,-4680.593
-2104.62,-5715.31
-4332.6,-6710.46
-1709.345,-5474.454
-1709.345,-5474.454
-4840.98,-6609.15
-4598.77,-6502.3
-1802.041,-5453.692
-1199.816,-3931.206
-2248.36,-5842.64
-2430.357,-5190.845
-2017.554,-5411.241
-6440.826,-8494.558
-3366.87,-7527.341
-4402.486,-4208.784
-633.329,-3355.55
-1991.153,-11695.849
-3869.484,-7526.183
-2094.786,-7280.576
-4148.688,-6394.143
-2419.04,-5419.389
-6638.124,-8585.118
-2272.815,-7031.889
-5581.878,-9155.655
4220,-1788
-1176.213,-4453.332
-548.208,-4503.359
-1728.556,-5573.355
-1953.785,-5195.033
-1919.773,-5467.61
-2114.97,-4653.27
-3242.79,-6991.839
-1799.77,-11124.34
-5020.205,-6917.926
-3423.6,-5337.129
-1870.343,-7158.932
-2265.003,-5853.184
-2365.017,-10988.265
-4942.821,-10384.649
-3428.436,-5384.726
-2510.208,-11109.435
-3032.411,-10978.214
-1287.82,-8630.98
-1845.28,-10086.48
-4826.134,-7014.085
-5626.3,-9182.736
-3099.697,-10936.643
-3535.05,-10206.58
-3050.53,-10911.14
-2094.786,-7280.576
-2005.584,-6965.083
-2035.104,-6961.931
-2972.722,-5175.62
-1919.866,-5799.553
-2008.917,-5249.66
,
-602.064,-4475.922
-2453.535,-5720.227
-521.232,-4401.843
-2197.476,-6610.307
-2174.634,-7338.021
1292.248,11440.843
-1924.123,-6885.191
-2906.077,-5460.242
-1708.836,-3121.42
-4459.691,-10471.161
-4498.631,-10494.963
-4498.631,-10494.963
-4509.098,-10437.027
-4733.456,-10840.986
-4564.848,-10393.339
-4726.338,-10999.294
-3697.163,-11479.555
-3618.928,-11356.582
-4285.461,-7590.654
-2372.597,-2546.346
-3114.449,-11090.908
-5091.202,-8323.859
-4942.196,-6682.088
-4827.53,-6506.83
-4324.4,-6783.94
-4550.739,-6659.973
-2481.181,-3850.214
-1567.161,-1840.38
-5870.2,-9338.82
-3200.503,-12644.005
-816.359,-12556.87
-4615.359,-10479.661
-2514.565,-7017.856
-2499.192,-8629.851
-1494.438,-2196.545
-1921.47,-2082.726
-3247.369,-3047.821
-2595.1,-5423.15
-2156.098,-1988.923
-1857.577,-11113.892
-3130.043,-7048.182
-5239.073,-9446.14
-321.801,-4183.407
-329.154,-4233.004
-867.323,-3693.037
-1363.719,-6531.47
-3058.722,-10167.386
-2467.733,-6819.782
-2401.102,-6797.268
-509.911,-4056.471
-509.911,-4056.471
-734.654,-3644.246
-6146.667,-8375.404
-2100.631,-4710.863
-1088.261,-3713.528
-1076.3,-4370.251
-4674.843,-6348.433
-5002.669,-11159.87
-1941.14,-13646.62
-4569.63,-10219.818
-1648.49,-13289.06
-3770.842,-10846.577
-1929.13,-9742.316
-982.194,-12577.209
-1657.103,-6260.594
-2321.077,-4125.106
-4331.825,-6579.944
-2363.477,-5949.142
-2426.141,-3200.519
-2506.461,-6448.525
-2363.477,-5949.142
-3499.088,-8971.929
-4455.388,-6075.748
-952.153,-3001.059
-2229.026,-3593.259
-2396.005,-6993.62
-1431.121,-2116.502
-2906.077,-5460.242
-1370.351,-3547.412
-3923.956,-7841.212
-1436.176,-5059.147
-2374.375,-5421.695
-2387.6,-5585.67
-2008.917,-5249.66
-2025.907,-5668.897
-4332.6,-6710.46
-1853.95,-13247.8
-3073.938,-5384.592
-942.963,-2912.595
-5151.128,-6627.515
-2518.113,-3498.123
-4240.693,-6235.492
-3427.656,-7031.407
-874.306,-12893.14
-3835.6,-11470.87
-2197.476,-6610.307
-2611.97,-7172.762
-4010.929,-4301.066
-1794.862,-13316.195
-3835.6,-11470.87
-2197.476,-6610.307
-4221.81,-7520.9
-2065.872,-10319.114
-1497.771,-6158.303
-4001.753,-4372.699
-3720.258,-4143.745
-2236.57,-12016.44
-1940.6,-7437.177
-4814.337,-10711.654
-4129.398,-10702.283
-2401.102,-6797.268
-5026.33,-8611.54
-4562.167,-11128.377
-3751.329,-9816.703
-2863.086,-4680.593
-3461.516,-5471.124
-5339.849,-8517.412
-3390.908,-5495.19
-1230.577,-3995.356
